Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP,PAR,Salinity,Descent Rate (m/s),Flag,DOY
5/4/2018 12:13,1.713,15.0026,1.6208,3.095,28.59,22.656544,10.0918,99.264,7.51,343.8821,282.61,1.869467029,0.096,0,124.5096875
5/4/2018 12:13,1.744,15.0056,1.6419,3.0923,28.67,22.660525,10.1245,99.364,7.515,343.8743,254.91,1.874859638,0.086,0,124.5096875
5/4/2018 12:13,1.767,14.9076,1.6826,3.0892,28.708,22.653336,10.1402,99.378,7.52,343.8705,232.94,1.882132254,0.074,0,124.5096875
5/4/2018 12:13,1.778,14.751,1.6907,3.0875,28.709,22.633063,10.1509,99.402,7.524,343.7499,233.19,1.889661928,0.063,0,124.5096875
5/4/2018 12:13,1.782,14.6059,1.6933,3.0719,28.694,22.605833,10.1566,99.4,7.526,343.707,233.84,1.895569764,0.056,0,124.5096875
5/4/2018 12:13,1.79,14.503,1.7787,3.0843,28.682,22.578019,10.1547,99.312,7.528,343.8678,232.97,1.899684821,0.054,0,124.5096875
5/4/2018 12:13,1.806,14.4419,1.9061,3.1145,28.679,22.55068,10.1491,99.163,7.529,343.9735,228.45,1.902425536,0.057,0,124.5096875
5/4/2018 12:13,1.826,14.4102,1.9557,3.1012,28.689,22.529175,10.1407,98.971,7.529,344.0383,223.1,1.904661728,0.062,0,124.5096875
5/4/2018 12:13,1.845,14.3908,1.9552,3.0765,28.7,22.508411,10.1252,98.709,7.529,344.1352,220.78,1.906374731,0.064,0,124.5096875
5/4/2018 12:13,1.864,14.3601,1.9733,3.0899,28.71,22.490041,10.1051,98.414,7.529,344.1123,217.05,1.90856784,0.063,0,124.5096875
5/4/2018 12:13,1.881,14.3148,2.0006,3.1109,28.743,22.497482,10.0853,98.15,7.53,344.1053,211.14,1.913094843,0.059,0,124.5096875
5/4/2018 12:13,1.894,14.2624,2.0098,3.1171,28.803,22.534872,10.0649,97.917,7.533,344.1377,204.17,1.919883487,0.056,0,124.5096875
5/4/2018 12:13,1.905,14.2075,2.0015,3.1037,28.835,22.561212,10.0452,97.73,7.536,344.0733,200.69,1.924834587,0.056,0,124.5096875
5/4/2018 12:13,1.916,14.16,2.0008,3.0716,28.825,22.562024,10.0299,97.614,7.538,344.1008,201.18,1.926463007,0.059,0,124.5096875
5/4/2018 12:13,1.929,14.1255,1.9743,3.0645,28.79,22.544702,10.0207,97.564,7.537,344.1267,200.4,1.925684073,0.065,0,124.5096875
5/4/2018 12:13,1.947,14.1075,1.9203,3.1087,28.701,22.478759,10.0207,97.578,7.534,344.0421,198.28,1.920267686,0.071,0,124.5096875
5/4/2018 12:13,1.968,14.1127,1.8993,3.1487,28.619,22.399541,10.0334,97.645,7.529,344.1104,194.5,1.914207411,0.079,0,124.5096875
5/4/2018 12:13,1.992,14.1327,1.9034,3.1516,28.596,22.348655,10.0547,97.73,7.523,344.2645,190.69,1.911601513,0.086,0,124.5096875
5/4/2018 12:13,2.015,14.1521,1.9513,3.1434,28.591,22.307834,10.0754,97.791,7.518,344.3567,186.54,1.910300108,0.091,0,124.5096875
5/4/2018 12:13,2.037,14.1714,2.0375,3.1404,28.608,22.286828,10.0906,97.81,7.515,344.4501,182.53,1.91055949,0.092,0,124.5096875
5/4/2018 12:13,2.063,14.1457,2.0731,3.116,28.644,22.285075,10.1025,97.811,7.514,344.5329,178.52,1.914359321,0.09,0,124.5096875
5/4/2018 12:13,2.09,14.0737,2.0777,3.0926,28.68,22.28661,10.1137,97.82,7.515,344.5844,174.72,1.920436322,0.087,0,124.5096875
5/4/2018 12:13,2.111,14.0055,2.1489,3.1324,28.733,22.30536,10.1215,97.814,7.516,344.6422,174.25,1.927553363,0.086,0,124.5096875
5/4/2018 12:13,2.129,13.9477,2.2721,3.2003,28.776,22.321302,10.1224,97.756,7.515,344.7153,171.16,1.933467124,0.087,0,124.5096875
5/4/2018 12:13,2.147,13.8939,2.3352,3.2112,28.753,22.288891,10.1175,97.653,7.51,344.8666,164.56,1.934498482,0.088,0,124.5096875
5/4/2018 12:13,2.167,13.8465,2.3422,3.142,28.7,22.230878,10.1118,97.534,7.505,345.0091,160.67,1.933074809,0.091,0,124.5096875
5/4/2018 12:13,2.192,13.8104,2.4672,3.0961,28.683,22.19119,10.1078,97.397,7.5,344.8896,156.48,1.933654537,0.092,0,124.5096875
5/4/2018 12:13,2.222,13.7783,2.7073,3.1137,28.726,22.189888,10.1069,97.259,7.496,344.6256,152.62,1.938320062,0.088,0,124.5096875
5/4/2018 12:13,2.251,13.7556,2.8381,3.1117,28.797,22.215093,10.1061,97.142,7.495,344.4842,149.92,1.944524501,0.08,0,124.5096875
5/4/2018 12:13,2.274,13.7334,2.8439,3.1016,28.843,22.241981,10.098,97.03,7.498,344.4705,148.26,1.948924077,0.068,0,124.5096875
5/4/2018 12:13,2.287,13.6865,2.7955,3.1137,28.851,22.261055,10.0819,96.925,7.502,344.5462,148.35,1.951850424,0.054,0,124.5096875
5/4/2018 12:13,2.293,13.6172,2.7126,3.1364,28.818,22.255281,10.0676,96.86,7.504,344.7122,148.01,1.952971005,0.043,0,124.5096875
5/4/2018 12:13,2.297,13.5541,2.67,3.1614,28.778,22.235668,10.0618,96.845,7.505,344.842,147.66,1.953278098,0.034,0,124.5096875
5/4/2018 12:13,2.303,13.5361,2.6661,3.1419,28.748,22.214378,10.0602,96.84,7.505,344.9109,145.82,1.952029469,0.029,0,124.5096875
