Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag,DOY,site
5/16/2018 10:22,0.681,23.2033,1.7401,0.6625,111.725,107.72307,8.6046,100.73,7.948,251.4882,72.642,6.596357065,0.029,0,136.4323843,ccr50
5/16/2018 10:22,0.684,23.2036,1.7546,0.6749,111.74,107.736961,8.5986,100.66,7.951,251.582,72.37,6.597267619,0.03,0,136.4323843,ccr50
5/16/2018 10:22,0.688,23.2037,1.7841,0.6837,111.741,107.738121,8.5931,100.593,7.952,251.6271,72.13,6.597316332,0.034,0,136.4323843,ccr50
5/16/2018 10:22,0.696,23.2036,1.8027,0.6767,111.74,107.737086,8.5892,100.548,7.951,251.6027,71.81,6.597266926,0.039,0,136.4323843,ccr50
5/16/2018 10:22,0.709,23.2036,1.8052,0.6818,111.726,107.724452,8.5873,100.528,7.947,251.7175,70.954,6.596374715,0.042,0,136.4323843,ccr50
5/16/2018 10:22,0.726,23.2033,1.7956,0.6843,111.713,107.712861,8.5862,100.516,7.944,251.8109,69.852,6.595590101,0.043,0,136.4323843,ccr50
5/16/2018 10:22,0.741,23.2028,1.7701,0.6459,111.724,107.724442,8.5862,100.517,7.944,251.786,69.293,6.596362867,0.041,0,136.4323843,ccr50
5/16/2018 10:22,0.751,23.2031,1.7448,0.6136,111.737,107.736972,8.5888,100.548,7.945,251.7609,69.075,6.597145553,0.035,0,136.4323843,ccr50
5/16/2018 10:22,0.757,23.204,1.737,0.6294,111.737,107.736867,8.5947,100.617,7.947,251.6794,68.681,6.597012699,0.025,0,136.4323843,ccr50
5/16/2018 10:22,0.762,23.2044,1.7309,0.6549,111.723,107.723168,8.6034,100.718,7.95,251.4884,68.404,6.596062177,0.014,0,136.4323843,ccr50
5/16/2018 10:22,0.765,23.2046,1.708,0.6775,111.698,107.698836,8.6109,100.805,7.952,251.4304,68.477,6.594440853,0.006,0,136.4323843,ccr50
5/16/2018 10:22,0.764,23.2047,1.6902,0.6895,111.698,107.69767,8.6137,100.836,7.952,251.5802,68.549,6.59442619,0.005,0,136.4323843,ccr50
5/16/2018 10:22,0.759,23.2048,1.6813,0.6771,111.709,107.70906,8.6127,100.826,7.952,251.7509,68.635,6.595112305,0.009,0,136.4323843,ccr50
5/16/2018 10:22,0.755,23.2046,1.6557,0.6506,111.708,107.70906,8.6106,100.803,7.95,251.9451,68.865,6.5950786,0.014,0,136.4323843,ccr50
5/16/2018 10:22,0.761,23.204,1.6195,0.613,111.694,107.697668,8.608,100.773,7.946,252.1216,68.546,6.594275309,0.019,0,136.4323843,ccr50
5/16/2018 10:22,0.774,23.2035,1.601,0.5877,111.695,107.698825,8.6041,100.728,7.945,252.1643,67.781,6.594411383,0.024,0,136.4323843,ccr50
5/16/2018 10:22,0.786,23.2038,1.607,0.5893,111.722,107.723043,8.5986,100.663,7.945,252.2038,67.599,6.596085065,0.028,0,136.4323843,ccr50
5/16/2018 10:22,0.793,23.2048,1.6281,0.602,111.737,107.735487,8.5941,100.608,7.947,252.3418,67.762,6.596892303,0.03,0,136.4323843,ccr50
5/16/2018 10:22,0.797,23.2058,1.6541,0.6186,111.725,107.72179,8.5922,100.584,7.949,252.4561,67.621,6.595980769,0.03,0,136.4323843,ccr50
5/16/2018 10:22,0.801,23.2058,1.6736,0.6381,111.689,107.68492,8.5936,100.599,7.949,252.5523,67.161,6.593688961,0.031,0,136.4323843,ccr50
5/16/2018 10:22,0.807,23.2049,1.6793,0.6542,111.679,107.672181,8.5975,100.642,7.948,252.6446,66.564,6.593184635,0.033,0,136.4323843,ccr50
